Observation station;Year;Month;Day;Global radiation mean [W/m2]
Sotkamo Kuolaniemi;2005;4;23;240,8
Sotkamo Kuolaniemi;2005;4;24;247
Sotkamo Kuolaniemi;2005;4;25;247,5
Sotkamo Kuolaniemi;2005;4;26;245,3
Sotkamo Kuolaniemi;2005;4;27;244,6
Sotkamo Kuolaniemi;2005;4;28;186,3
Sotkamo Kuolaniemi;2005;4;29;257,5
Sotkamo Kuolaniemi;2005;4;30;266,5
Sotkamo Kuolaniemi;2005;5;1;263,3
Sotkamo Kuolaniemi;2005;5;2;273,1
Sotkamo Kuolaniemi;2005;5;3;138,9
Sotkamo Kuolaniemi;2005;5;4;219,9
Sotkamo Kuolaniemi;2005;5;5;192,3
Sotkamo Kuolaniemi;2005;5;6;96,3
Sotkamo Kuolaniemi;2005;5;7;61,3
Sotkamo Kuolaniemi;2005;5;8;169,5
Sotkamo Kuolaniemi;2005;5;9;22,4
Sotkamo Kuolaniemi;2005;5;10;213,7
Sotkamo Kuolaniemi;2005;5;11;81,1
Sotkamo Kuolaniemi;2005;5;12;243
Sotkamo Kuolaniemi;2005;5;13;218,6
Sotkamo Kuolaniemi;2005;5;14;241,9
Sotkamo Kuolaniemi;2005;5;15;206,6
Sotkamo Kuolaniemi;2005;5;16;99,2
Sotkamo Kuolaniemi;2005;5;17;128,4
Sotkamo Kuolaniemi;2005;5;18;92,7
Sotkamo Kuolaniemi;2005;5;19;154,9
Sotkamo Kuolaniemi;2005;5;20;228
Sotkamo Kuolaniemi;2005;5;21;161
Sotkamo Kuolaniemi;2005;5;22;232,3
Sotkamo Kuolaniemi;2005;5;23;88,7
Sotkamo Kuolaniemi;2005;5;24;206,8
Sotkamo Kuolaniemi;2005;5;25;197,6
Sotkamo Kuolaniemi;2005;5;26;202,7
Sotkamo Kuolaniemi;2005;5;27;165,7
Sotkamo Kuolaniemi;2005;5;28;233,8
Sotkamo Kuolaniemi;2005;5;29;342,2
Sotkamo Kuolaniemi;2005;5;30;292,4
Sotkamo Kuolaniemi;2005;5;31;269,3
Sotkamo Kuolaniemi;2005;6;1;180,7
Sotkamo Kuolaniemi;2005;6;2;326,2
Sotkamo Kuolaniemi;2005;6;3;253,5
Sotkamo Kuolaniemi;2005;6;4;242,8
Sotkamo Kuolaniemi;2005;6;5;30,9
Sotkamo Kuolaniemi;2005;6;6;155,9
Sotkamo Kuolaniemi;2005;6;7;233,9
Sotkamo Kuolaniemi;2005;6;8;331,2
Sotkamo Kuolaniemi;2005;6;9;226,1
Sotkamo Kuolaniemi;2005;6;10;176,5
Sotkamo Kuolaniemi;2005;6;11;292,2
Sotkamo Kuolaniemi;2005;6;12;246,9
Sotkamo Kuolaniemi;2005;6;13;326,2
Sotkamo Kuolaniemi;2005;6;14;313,5
Sotkamo Kuolaniemi;2005;6;15;90,4
Sotkamo Kuolaniemi;2005;6;16;340,1
Sotkamo Kuolaniemi;2005;6;17;286,1
Sotkamo Kuolaniemi;2005;6;18;238,5
Sotkamo Kuolaniemi;2005;6;19;317,3
