Observation station;Year;Month;Day;Time [Local time];Global radiation mean [W/m2]
Vantaa Helsinki-Vantaa airport;2017;6;5;00:00;99,4
Vantaa Helsinki-Vantaa airport;2017;6;6;00:00;318
Vantaa Helsinki-Vantaa airport;2017;6;7;00:00;336,1
Vantaa Helsinki-Vantaa airport;2017;6;8;00:00;43,6
Vantaa Helsinki-Vantaa airport;2017;6;9;00:00;231,4
Vantaa Helsinki-Vantaa airport;2017;6;10;00:00;245,1
Vantaa Helsinki-Vantaa airport;2017;6;11;00:00;249,6
Vantaa Helsinki-Vantaa airport;2017;6;12;00:00;40,2
Vantaa Helsinki-Vantaa airport;2017;6;13;00:00;126,6
Vantaa Helsinki-Vantaa airport;2017;6;14;00:00;323,1
Vantaa Helsinki-Vantaa airport;2017;6;15;00:00;351,1
Vantaa Helsinki-Vantaa airport;2017;6;16;00:00;242,1
Vantaa Helsinki-Vantaa airport;2017;6;17;00:00;260,6
Vantaa Helsinki-Vantaa airport;2017;6;18;00:00;168,6
Vantaa Helsinki-Vantaa airport;2017;6;19;00:00;255,7
Vantaa Helsinki-Vantaa airport;2017;6;20;00:00;116,8
Vantaa Helsinki-Vantaa airport;2017;6;21;00:00;228,7
Vantaa Helsinki-Vantaa airport;2017;6;22;00:00;247,7
Vantaa Helsinki-Vantaa airport;2017;6;23;00:00;210,5
Vantaa Helsinki-Vantaa airport;2017;6;24;00:00;201,7
Vantaa Helsinki-Vantaa airport;2017;6;25;00:00;298,4
Vantaa Helsinki-Vantaa airport;2017;6;26;00:00;226,7
Vantaa Helsinki-Vantaa airport;2017;6;27;00:00;214,3
Vantaa Helsinki-Vantaa airport;2017;6;28;00:00;348,2
Vantaa Helsinki-Vantaa airport;2017;6;29;00:00;353,1
Vantaa Helsinki-Vantaa airport;2017;6;30;00:00;189,8
Vantaa Helsinki-Vantaa airport;2017;7;1;00:00;104
Vantaa Helsinki-Vantaa airport;2017;7;2;00:00;286
Vantaa Helsinki-Vantaa airport;2017;7;3;00:00;167,1
Vantaa Helsinki-Vantaa airport;2017;7;4;00:00;259,6
Vantaa Helsinki-Vantaa airport;2017;7;5;00:00;170,8
Vantaa Helsinki-Vantaa airport;2017;7;6;00:00;185,8
Vantaa Helsinki-Vantaa airport;2017;7;7;00:00;316,6
Vantaa Helsinki-Vantaa airport;2017;7;8;00:00;251,7
Vantaa Helsinki-Vantaa airport;2017;7;9;00:00;311,3
Vantaa Helsinki-Vantaa airport;2017;7;10;00:00;326,8
Vantaa Helsinki-Vantaa airport;2017;7;11;00:00;106,9
Vantaa Helsinki-Vantaa airport;2017;7;12;00:00;136,4
Vantaa Helsinki-Vantaa airport;2017;7;13;00:00;135,6
Vantaa Helsinki-Vantaa airport;2017;7;14;00:00;315,9
Vantaa Helsinki-Vantaa airport;2017;7;15;00:00;317
Vantaa Helsinki-Vantaa airport;2017;7;16;00:00;328,7
Vantaa Helsinki-Vantaa airport;2017;7;17;00:00;121,4
Vantaa Helsinki-Vantaa airport;2017;7;18;00:00;231,7
Vantaa Helsinki-Vantaa airport;2017;7;19;00:00;118,4
Vantaa Helsinki-Vantaa airport;2017;7;20;00:00;217,1
Vantaa Helsinki-Vantaa airport;2017;7;21;00:00;276,5
Vantaa Helsinki-Vantaa airport;2017;7;22;00:00;243,9
Vantaa Helsinki-Vantaa airport;2017;7;23;00:00;284,2
Vantaa Helsinki-Vantaa airport;2017;7;24;00:00;122,8
Vantaa Helsinki-Vantaa airport;2017;7;25;00:00;150,9
